20,20,5298
20,40,18007
20,60,25398
20,80,26759
20,100,118710
20,120,142180
20,140,177622
20,160,272482
20,180,461035
40,20,13592
40,40,29269
40,60,92806
40,80,140798
40,100,252763
40,120,309793
40,140,455184
40,160,537414
40,180,560992
60,20,14974
60,40,62173
60,60,109854
60,100,270067
60,120,498307
60,140,451451
60,160,461166
60,180,727986
80,20,12631
80,40,41412
80,60,122049
80,80,239452
80,100,235609
80,120,513393
80,140,586489
80,160,743409
80,180,696154
100,20,14913
100,40,73842
100,60,121399
100,80,260615
100,100,537930
100,120,577537
100,140,571216
100,160,933637
100,180,974028
120,20,31290
120,40,44461
120,60,115258
120,80,374006
120,100,501004
120,120,584621
120,140,759393
